SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,12615 Perrywood Ln,Dunkirk,MD,20754,599900,5,3.5,PERRY'S CHOICE,3046,44431,2001,3,197,25,Active,,,http://www.redfin.com/MD/Dunkirk/12615-Perrywood-Ln-20754/home/15092617,BRIGHT MLS,MDCA176658,Y,Y,38.7545769,-76.6523262
MLS Listing,,Single Family Residential,2835 Feather Ridge Ct,Dunkirk,MD,20754,389000,3,2.0,HICKORY CREEK,1964,47045,1995,4,198,,Active,,,http://www.redfin.com/MD/Dunkirk/2835-Feather-Ridge-Ct-20754/home/15092681,BRIGHT MLS,MDCA176598,N,Y,38.7295885,-76.6515366
MLS Listing,,Single Family Residential,10331 Three Doctors Rd,Dunkirk,MD,20754,514900,3,3.0,FERRY LANDING WOODS,3191,137650,1976,4,161,,Active,,,http://www.redfin.com/MD/Dunkirk/10331-3-Doctors-Rd-20754/home/15097575,BRIGHT MLS,MDCA176702,Y,Y,38.7282686,-76.6786963
MLS Listing,,Single Family Residential,9919 Jonathan Dr,Dunkirk,MD,20754,379900,3,2.5,APPLE GREENE,2693,29964,1976,4,141,,Active,,,http://www.redfin.com/MD/Dunkirk/9919-Jonathan-Dr-20754/home/15097348,BRIGHT MLS,MDCA176542,N,Y,38.7173005,-76.6533865
MLS Listing,,Single Family Residential,1951 Aberdeen Dr,Dunkirk,MD,20754,499900,4,3.0,DUNKIRK WOODS,2342,47916,1975,7,213,,Active,,,http://www.redfin.com/MD/Dunkirk/1951-Aberdeen-Dr-20754/home/15099125,BRIGHT MLS,MDCA176616,N,Y,38.7297253,-76.6395339
MLS Listing,,Single Family Residential,6425 Meadowlark Dr,Dunkirk,MD,20754,629990,5,3.5,TALL OAKS,4390,87120,2000,9,144,15,Active,,,http://www.redfin.com/MD/Dunkirk/6425-Meadowlark-Dr-20754/home/10470155,BRIGHT MLS,MDAA435050,N,Y,38.7486129,-76.5997275
MLS Listing,,Single Family Residential,1961 Haven Ln,Dunkirk,MD,20754,559000,5,3.0,DUNKIRK FIELDS,3449,139392,1976,21,162,,Active,,,http://www.redfin.com/MD/Dunkirk/1961-Haven-Ln-20754/home/15095424,BRIGHT MLS,MDCA175998,N,Y,38.722158,-76.6384058
MLS Listing,,Single Family Residential,4080 Loving Dr,Dunkirk,MD,20754,529900,4,3.0,LOVING FARM,2562,43560,1999,22,207,25,Active,,,http://www.redfin.com/MD/Dunkirk/4080-Loving-Dr-20754/home/15093762,BRIGHT MLS,MDCA176338,N,Y,38.7081767,-76.680185
MLS Listing,,Single Family Residential,3610 King Dr,Dunkirk,MD,20754,419975,3,3.0,REGAL ESTS,2781,47916,1984,28,151,,Active,,,http://www.redfin.com/MD/Dunkirk/3610-King-Dr-20754/home/15096665,BRIGHT MLS,MDCA176250,N,Y,38.7381802,-76.6752453
MLS Listing,,Single Family Residential,11951 Prince Ct,Dunkirk,MD,20754,379900,4,2.0,CAVALIER COUNTRY,1508,17888,1972,36,252,,Active,,,http://www.redfin.com/MD/Dunkirk/11951-Prince-Ct-20754/home/15099249,BRIGHT MLS,MDCA176120,N,Y,38.7466206,-76.6299671
MLS Listing,,Single Family Residential,3200 Hickory Ridge Rd,Dunkirk,MD,20754,504999,4,3.5,CALVERT ESTS,3450,131116,1987,46,146,,Active,,,http://www.redfin.com/MD/Dunkirk/3200-Hickory-Ridge-Rd-20754/home/15095576,BRIGHT MLS,MDCA175872,N,Y,38.754976,-76.667576
MLS Listing,,Single Family Residential,1412 Knight Ave,Dunkirk,MD,20754,324900,3,2.0,CAVALIER COUNTRY,1446,17890,1972,46,225,,Active,,,http://www.redfin.com/MD/Dunkirk/1412-Knight-Ave-20754/home/15098789,BRIGHT MLS,MDCA175806,N,Y,38.7490439,-76.6293804
MLS Listing,,Single Family Residential,12380 Webb Ln,Dunkirk,MD,20754,750000,5,3.5,FIELDS OF DUNKIRK,5237,80150,2013,47,143,,Active,,,http://www.redfin.com/MD/Dunkirk/12380-Webb-Ln-20754/home/52390085,BRIGHT MLS,MDCA175798,N,Y,38.7540314,-76.6479673
